	Index	Exp. Data Info	Exp. ValuePred. Value	Relative Err.
1		1.491	1.491	-0.006
2		-0.020	-0.019	0.008
3		-2.865	-3.020	-1.547
4		-0.326	-0.076	2.497 *
5		-0.399	-0.284	1.147
6		-1.427	-1.494	-0.674
7		0.171	0.217	0.461
8		-1.443	-1.304	1.390
9		1.612	1.413	-1.985 *
10		0.600	0.691	0.913
11		2.380	2.444	0.638
12		-2.070	-2.124	-0.539
13		0.782	0.831	0.488
14		-1.394	-1.278	1.159
15		0.549	0.671	1.226
16		-0.629	-0.663	-0.341
17		9.066e-02	-4.505e-03	-0.952
18		0.353	0.504	1.513
19		-1.862	-1.844	0.176
20		-1.446	-1.444	0.026
21		-1.378	-1.311	0.671
22		-0.179	-0.268	-0.893
23		0.461	0.399	-0.618
24		1.869	1.622	-2.466 *
25		1.106	1.183	0.769
26		0.700	0.689	-0.109
27		1.329	1.280	-0.488
28		2.241	2.263	0.217
29		1.367	1.298	-0.689
30		-0.044	-0.220	-1.754
31		3.078	3.047	-0.313
32		3.112	3.019	-0.929
33		1.029	1.008	-0.205
34		0.979	0.920	-0.592
35		2.281	2.355	0.740
36		-0.471	-0.417	0.536
37		0.354	0.372	0.179
38		-2.071	-2.093	-0.223
39		2.552	2.511	-0.410
40		2.140	2.197	0.570
41		2.562	2.603	0.411
42		1.391	1.428	0.371
43		-1.072	-0.864	2.087 *
44		-1.470	-1.438	0.327
45		1.450	1.388	-0.620
46		-1.923	-1.790	1.323
47		-2.757	-2.847	-0.896
48		0.973	1.008	0.349
49		0.606	0.602	-0.037
50		-2.879	-2.867	0.118
51		-2.684	-2.641	0.435
52		2.961	3.016	0.548
53		0.942	0.966	0.238
54		-1.161	-1.146	0.154
55		0.343	0.300	-0.424
56		0.053	-0.203	-2.560 ***
57		0.157	0.127	-0.304
58		2.185	2.088	-0.972
59		0.159	0.232	0.731
60		-0.287	-0.229	0.584
61		0.157	0.218	0.610
62		-0.342	-0.360	-0.181
63		1.953	1.935	-0.185
64		-0.262	-0.188	0.740
65		-1.364	-1.283	0.809
66		1.041	1.116	0.758
67		1.569	1.814	2.448 *
68		3.088	3.065	-0.238
69		1.528	1.598	0.700
70		-0.434	-0.557	-1.232
