	Index	Exp. Data Info	Exp. ValuePred. Value	Relative Err.
1		1.491	1.605	1.136
2		-0.020	1.140	11.604
3		-2.865	-2.722	1.425
4		-0.326	0.975	13.013
5		-0.399	-0.021	3.779
6		-1.427	-1.569	-1.420
7		0.171	0.051	-1.205
8		-1.443	-2.164	-7.215
9		1.612	0.472	-11.395
10		0.600	0.448	-1.515
11		2.380	1.063	-13.170
12		-2.070	-1.336	7.348
13		0.782	-0.583	-13.648
14		-1.394	-2.069	-6.745
15		0.549	-0.143	-6.919
16		-0.629	-0.189	4.399
17		0.091	0.394	3.030
18		0.353	1.083	7.296
19		-1.862	-0.553	13.090
20		-1.446	-1.964	-5.176
21		-1.378	-0.795	5.824
22		-0.179	0.124	3.027
23		0.461	-0.680	-11.413
24		1.869	0.219	-16.503 ***
25		1.106	1.030	-0.765
26		0.700	0.060	-6.397
27		1.329	-0.017	-13.460
28		2.241	1.260	-9.810
29		1.367	0.829	-5.379
30		-0.044	-1.397	-13.529
31		3.078	1.717	-13.608
32		3.112	1.678	-14.336
33		1.029	-0.240	-12.687
34		0.979	-0.430	-14.089
35		2.281	1.587	-6.946
36		-4.711e-01	-5.141e-03	4.659
37		0.354	1.146	7.920
38		-2.071	-2.222	-1.512
39		2.552	1.688	-8.640
40		2.140	0.955	-11.856
41		2.562	1.565	-9.966
42		1.391	-0.065	-14.558
43		-1.072	-1.972	-8.994
44		-1.470	-2.418	-9.473
45		1.450	1.010	-4.401
46		-1.923	-0.580	13.431
47		-2.757	-2.965	-2.081
48		0.973	-0.165	-11.382
49		0.606	1.380	7.736
50		-2.879	-2.652	2.271
51		-2.684	-2.832	-1.483
52		2.961	1.868	-10.924
53		0.942	0.873	-0.697
54		-1.161	-1.050	1.116
55		0.343	0.970	6.276
56		0.053	1.142	10.883
57		0.157	0.538	3.808
58		2.185	1.539	-6.454
59		0.159	0.415	2.563
60		-0.287	0.354	6.413
61		0.157	0.857	6.999
62		-0.342	0.392	7.333
63		1.953	1.311	-6.421
64		-0.262	0.773	10.347
65		-1.364	-1.657	-2.927
66		1.041	-0.282	-13.231
67		1.569	0.421	-11.485
68		3.088	1.762	-13.266
69		1.528	1.152	-3.763
70		-0.434	-1.195	-7.611
